题号,题型,题干,选项A,选项B,选项C,选项D,选项E,正确答案,正确答案文本,解析
1,单选题,常用滚子链说法错误的是,由滚子、套筒、销轴、内链板、外链板组成,节距、滚子直径、内链节内宽是测量确定链号的重要参数,链号数乘以25.4/16mm即为节距值,链节数为偶数时，采用过渡链节,,D,链节数为偶数时，采用过渡链节,链节数为奇数时 ，需要采用过渡链节。
2,单选题,三联件的组成及顺序正确的是,油雾器、电磁阀、过滤器,减压阀、过滤器、排水阀,过滤器、减压阀、油雾器,调压阀、油雾器、过滤器,,C,过滤器、减压阀、油雾器,安装正确顺序：过滤器、减压阀、油污器。
3,单选题,不能驱动气缸动作的阀是,手转阀,电磁阀,脚踏阀,插装阀,,D,插装阀,插装阀用于液压系统的。
4,单选题,关于同步带HTD1120-8M，说法错误的是,圆弧齿同步带,同步带张紧一般通过张紧轮调节,节线长为1120mm,齿数145,,D,齿数145,"节距P=8mm,节线长1120mm,齿数z=1120/8=140。"
5,单选题,对于轴承6920-2Z，说法错误的是,轴承内径100mm,深沟球轴承,铁防尘盖封,能承受较大的轴向载荷,,D,能承受较大的轴向载荷,深沟球轴承主要承受径向载荷，也可同时承受小的轴向载荷。
6,单选题,上引弯曲伺服电机与丝杆之间的连接部件是？,涡轮蜗杆减速机,行星减速机,铜螺母,联轴器,,A,涡轮蜗杆减速机,伺服电机与涡轮蜗杆减速机连接，再通过开口的轴套、柱销与丝杆连接。
7,单选题,上引循环冷却水压力范围是,0.1-0.2MPa,0.2-0.3MPa,0.3-0.4MPa,0.4-0.5MPa,,B,0.2-0.3MPa,上引循环冷却水压力一般在0.28MPa左右。
8,单选题,上引循环冷却水进水温度不得高于多少摄氏度？,29℃,25℃,33℃,38℃,,C,33℃,上引循环冷却水进水温度一般需保持在30℃以下，若在重庆夏季高温季节，不得高于33℃，过高会造成结晶器结垢严重。
9,单选题,上引牵引主轴两端轴承型号是,6209-2Z,6209-2RS,6209,6209-2RZ,,A,6209-2Z,上引炉灰尘较多，温度较高，选择铁防尘盖6209-2Z。
10,单选题,关于上引连铸机偏斜故障的原因，说法错误的是,中间传动轴传动故障,丝杆铜螺母脱位,链条断裂,电机故障,,D,电机故障,连铸机电机故障会造成升降机构不移动，不会偏斜。
11,单选题,挤压机常见故障中，减速机抖动大的原因是,减速机损坏,联轴器损坏,电机损坏,,,B,联轴器损坏,联轴器损坏，造成传动不畅。
12,单选题,压实轮轴承润滑油是,2号锂基酯,二硫化钼锂基酯,46号机油,68号液压油,,B,二硫化钼锂基酯,压实轮轴承采用二硫化钼锂基酯。
13,单选题,550挤压机液压螺母的加压压力是多少？,20MPa,24MPa,25MPa,28MPa,,C,25MPa,550挤压机液压螺母的加压压力是25MPa。
14,单选题,550挤压机顶紧缸顶紧压力是多少？,20MPa,24MPa,26MPa,28MPa,,B,24MPa,550挤压机顶紧缸顶紧压力是24MPa。
15,单选题,挤压主轴旋转接头的作用是,液压油循环,挤压轮冷却水循环,轴承润滑油循环,模具冷却水循环,,B,挤压轮冷却水循环,旋转接头连接在主轴上，冷却水经旋转接头、主轴冷却挤压轮。
16,单选题,下列各项中，不属于二辊轧机矫直输送机构的组成是,离合器,万向联轴器,减速机,夹送轮,,D,夹送轮,二辊轧机设备中，都是辊夹送。
17,单选题,拉拔小车机构，钳口不能夹住铜排，原因不可能是,压缩空气压力不足,曲柄、花键套脱焊,连杆脱落,液压缸不动作,,D,液压缸不动作,钳口动作的驱动是压缩空气为动力源。
